record_type,game_name,main_story,main_extra,completionist,extraction_time,source,endpoint
hl_tb_time,EVE Online,1553.13,3177.16,6499.35,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Grand Theft Auto V,32.05,50.98,86.97,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,GeoGuessr,0.35,1.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,World of Tanks,494.05,1082.34,3894.5,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Poker,5.06,10.54,14.41,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Albion Online,10.0,37.3,199.2,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,"No, I'm Not A Human",0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Tormented Souls II,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,MLB The Show 25,0.0,0.0,14.5,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Pokémon,32.2,50.35,88.35,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,StarCraft II,17.8,21.5,51.92,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Elden Ring: Nightreign,25.07,35.72,53.45,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Splitgate 2,5.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,NBA 2K25,19.32,34.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Holstin,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Among Us,8.09,15.49,28.45,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Hunt: Showdown 1896,55.53,281.12,577.6,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Halo Infinite,11.32,19.38,29.3,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Marbles on Stream,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Warframe,112.17,656.03,1507.46,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Off The Grid,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Monster Hunter Wilds,17.66,42.17,104.25,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Dark and Darker,1.67,5.02,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Dota 2,850.83,1138.89,2285.63,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Slots,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Clubhouse Games: 51 Worldwide Classics,8.87,20.61,54.75,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Storyteller,2.24,2.69,2.97,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,The Boba Teashop,1.11,1.11,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Pokémon HeartGold/SoulSilver,36.53,72.54,211.51,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Dispatch,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Predecessor,1.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,UNDERTALE,0.0,0.0,20.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Animal Crossing: New Horizons,61.01,150.0,399.88,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
