record_type,format,username,rating,gxe,pr,levels,extraction_time,source,endpoint
ladder,gen9ou,SOUTH STATION,,85.8,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,saw war newnew,,88.7,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,sunflora wukong,,85.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,kalamaio,,84.7,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,BANH MI DU MA,,86.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,8wKzDBm3nT4L1TyxQu,,87.5,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,free solo artist,,81.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,xorete,,84.0,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,bombobini gusini,,85.4,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,she wants me 4l,,79.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Well That DOES IT,,88.8,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,you best not miss,,82.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Encadio,,83.7,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,OnSayuzeNem,,86.2,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Moodclues,,84.2,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Malk Tyme,,81.4,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,mommy buzzwole,,86.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,butts99999,,86.7,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Shikuleo,,86.4,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Snake Prairie,,84.0,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Kin2,,80.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,a trip to paris,,83.4,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,metallowires,,86.2,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Lancer Medusa,,81.9,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,okidogi bro,,81.4,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,nagoL40spaz,,83.6,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,inertialinitiative,,88.1,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Abrobatics,,80.5,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,qways,,81.2,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Doue MVP,,83.9,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,Braised Snorlax,,82.2,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,DragoniteFan1,,86.2,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,O12D,,83.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,cold.exe,,82.4,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,BadTeamsHighLadder,,80.0,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,pod10,,82.3,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,midafin,,87.1,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,La mere a Bachira,,79.5,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,i hug my bitch,,83.8,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,chusei20,,79.5,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,VerySuboptimal,,78.0,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,art of positioning,,82.1,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,KTM Adam 1,,80.8,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,FRATTE REGNA,,81.8,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
ladder,gen9ou,BALL$ACKZ,,84.6,,,2025-06-10T19:48:08.106743,showdown,ladder/gen9ou
