record_type,game_id,game_name,box_art_url,extraction_time,source,endpoint
game,1320984402,Madden NFL 25,https://static-cdn.jtvnw.net/ttv-boxart/1320984402_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,262437666,Farming Simulator 25,https://static-cdn.jtvnw.net/ttv-boxart/262437666_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,2009321156,Dark and Darker,https://static-cdn.jtvnw.net/ttv-boxart/2009321156_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1075600787,Backrooms: Escape Together,https://static-cdn.jtvnw.net/ttv-boxart/1075600787_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,394568,RimWorld,https://static-cdn.jtvnw.net/ttv-boxart/394568-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1131336879,Black Russia,https://static-cdn.jtvnw.net/ttv-boxart/1131336879_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,66170,Warframe,https://static-cdn.jtvnw.net/ttv-boxart/66170_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,313430,PoPoLoCrois Monogatari,https://static-cdn.jtvnw.net/ttv-boxart/313430_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,983841243,Off The Grid,https://static-cdn.jtvnw.net/ttv-boxart/983841243_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,65654,The Elder Scrolls Online,https://static-cdn.jtvnw.net/ttv-boxart/65654_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1702520304,Path of Exile 2,https://static-cdn.jtvnw.net/ttv-boxart/1702520304_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,416015,Hero Siege,https://static-cdn.jtvnw.net/ttv-boxart/416015_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,702495428,FANTASY LIFE i: The Girl Who Steals Time,https://static-cdn.jtvnw.net/ttv-boxart/702495428_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,365959860,Starlight Re:Volver,https://static-cdn.jtvnw.net/ttv-boxart/365959860_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,213930085,Honkai: Star Rail,https://static-cdn.jtvnw.net/ttv-boxart/213930085_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,2094865572,SMITE 2,https://static-cdn.jtvnw.net/ttv-boxart/2094865572-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,515214,Politics,https://static-cdn.jtvnw.net/ttv-boxart/515214-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,735904419,ARK: Survival Ascended,https://static-cdn.jtvnw.net/ttv-boxart/735904419_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,498482,Age of Empires IV,https://static-cdn.jtvnw.net/ttv-boxart/498482_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,509538,Animal Crossing: New Horizons,https://static-cdn.jtvnw.net/ttv-boxart/509538_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,490292,DARK SOULS III,https://static-cdn.jtvnw.net/ttv-boxart/490292_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1751558109,Lorelei and the Laser Eyes,https://static-cdn.jtvnw.net/ttv-boxart/1751558109_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1286077738,Monster Hunter Wilds,https://static-cdn.jtvnw.net/ttv-boxart/1286077738_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,510389,Shakes and Fidget,https://static-cdn.jtvnw.net/ttv-boxart/510389_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,13263,EVE Online,https://static-cdn.jtvnw.net/ttv-boxart/13263_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,489170,DARK SOULS II: Scholar of the First Sin,https://static-cdn.jtvnw.net/ttv-boxart/489170_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,670867987,Pokémon Scarlet/Violet,https://static-cdn.jtvnw.net/ttv-boxart/670867987-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1393304883,Mir Tankov,https://static-cdn.jtvnw.net/ttv-boxart/1393304883_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,500188,Hunt: Showdown 1896,https://static-cdn.jtvnw.net/ttv-boxart/500188_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,1494,Call of Duty,https://static-cdn.jtvnw.net/ttv-boxart/1494_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,272263131,"Animals, Aquariums, and Zoos",https://static-cdn.jtvnw.net/ttv-boxart/272263131-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,712125648,Splitgate 2,https://static-cdn.jtvnw.net/ttv-boxart/712125648_IGDB-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
game,743,Chess,https://static-cdn.jtvnw.net/ttv-boxart/743-{width}x{height}.jpg,2025-06-10T17:55:59.235129,twitch,games/top
