record_type,stream_id,game_id,game_name,user_id,user_name,viewer_count,started_at,language,extraction_time,source,endpoint
stream,321488659065,518203,Sports,954019488,CAMP_NOU_NOW,62,2025-06-10T05:18:17Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,321512092665,518203,Sports,484455338,hanse_breaks,52,2025-06-10T16:53:02Z,de,2025-06-10T19:45:49.400669,twitch,streams
stream,322434874748,518203,Sports,703058175,radiosei98100,51,2025-06-10T18:01:11Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,321518212729,518203,Sports,681597377,erafutbolfemenino,50,2025-06-10T19:15:40Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,321487798649,518203,Sports,1013786018,manasportrm,45,2025-06-10T04:05:22Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,326008898685,518203,Sports,1276413436,football_livestreamz,41,2025-06-10T18:37:56Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321517895289,518203,Sports,645217060,KeepPushingF1,41,2025-06-10T19:09:29Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,321487634553,518203,Sports,909808040,WinnersBeachVolleyball_1,40,2025-06-10T03:50:23Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,326008467069,518203,Sports,800647336,DrewsBreaks,39,2025-06-10T18:30:45Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322437245948,518203,Sports,612326731,Juanma6Sanchez,38,2025-06-10T18:29:56Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,325990987133,518203,Sports,843218741,da_2bros1break,37,2025-06-10T14:15:47Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322439878140,518203,Sports,460703066,marmita_sports,32,2025-06-10T19:03:08Z,el,2025-06-10T19:45:49.400669,twitch,streams
stream,325985401853,518203,Sports,418636726,espn975,31,2025-06-10T11:57:18Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325996314877,518203,Sports,480403250,peege7,31,2025-06-10T15:30:51Z,pt,2025-06-10T19:45:49.400669,twitch,streams
stream,314443122412,518203,Sports,748846917,LaFuenteTV,30,2025-06-10T19:35:32Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,321514938361,518203,Sports,1110303044,retesport1042,28,2025-06-10T17:59:59Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,321518267257,518203,Sports,230635277,SweetChinMusig8,27,2025-06-10T19:16:39Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,321515576953,518203,Sports,775538353,EffchenCards,26,2025-06-10T18:16:36Z,de,2025-06-10T19:45:49.400669,twitch,streams
stream,322440226428,518203,Sports,776490140,1of1Collectors,26,2025-06-10T19:09:05Z,fr,2025-06-10T19:45:49.400669,twitch,streams
stream,322367224956,518203,Sports,71068671,FailArmy,24,2025-06-09T08:05:22Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,315118980726,518203,Sports,943122779,natrolocc,23,2025-06-10T19:18:55Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,322392429308,518203,Sports,536948524,LeoDickinsonSumo,23,2025-06-09T21:19:34Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321516621817,518203,Sports,528746954,yavor_tv,22,2025-06-10T18:42:27Z,pl,2025-06-10T19:45:49.400669,twitch,streams
stream,322439833980,518203,Sports,1169927056,ilmilanologotv,21,2025-06-10T19:02:32Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,315158097525,518203,Sports,1154665543,97digital,18,2025-06-10T17:44:59Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,321515998073,518203,Sports,1301886627,sottolestelle_cup,16,2025-06-10T18:26:14Z,it,2025-06-10T19:45:49.400669,twitch,streams
stream,322421083004,499973,Always On,1305342529,TheBurntPeanut_247,907,2025-06-10T07:02:07Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322355260540,499973,Always On,1208380682,YuGiOh_Deutsch,432,2025-06-09T01:45:41Z,de,2025-06-10T19:45:49.400669,twitch,streams
stream,326005490813,499973,Always On,45025143,UFDTech,379,2025-06-10T17:43:30Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322421081468,499973,Always On,1064197963,shrood,339,2025-06-10T07:02:03Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,314435709035,499973,Always On,1268505622,mande247,275,2025-06-09T02:10:51Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325977842301,499973,Always On,407510247,Japan_ASMR,196,2025-06-10T06:25:12Z,ja,2025-06-10T19:45:49.400669,twitch,streams
stream,325992563453,499973,Always On,487537092,DanGheeslingTV,195,2025-06-10T14:42:07Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325971846525,499973,Always On,430708432,ASMR_Marie,165,2025-06-10T04:32:49Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321509535865,499973,Always On,157723545,WorstPremadeEver,162,2025-06-10T15:49:43Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322359539964,499973,Always On,1056976283,ALF_Deutsch,152,2025-06-09T03:06:40Z,de,2025-06-10T19:45:49.400669,twitch,streams
stream,322362382332,499973,Always On,1131600178,LIRIK_247,132,2025-06-09T04:24:22Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325984550525,499973,Always On,1090430312,SleepyGirlTani,114,2025-06-10T11:15:54Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321488477305,499973,Always On,494891816,callecox,113,2025-06-10T05:03:29Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325915544061,499973,Always On,666535472,HolyDabRip420,108,2025-06-09T15:56:07Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321494657913,499973,Always On,139988241,GTAVICountDown26,100,2025-06-10T09:37:55Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322407538812,499973,Always On,195089197,ThunderStrauss,100,2025-06-10T01:19:49Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,321476279033,499973,Always On,617923031,TrashTastePodcast,99,2025-06-09T21:02:27Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321515430777,499973,Always On,57744501,VeteALaVersh_dkco,79,2025-06-10T18:12:46Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,322386589436,499973,Always On,1142127889,PrivatePenguin42,77,2025-06-09T19:23:10Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322437348220,499973,Always On,76780557,VonDamals,76,2025-06-10T18:31:16Z,de,2025-06-10T19:45:49.400669,twitch,streams
stream,315150873844,499973,Always On,853814907,EvilMarshall,74,2025-06-10T01:50:59Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,322395719164,499973,Always On,1157844575,Zfg247,72,2025-06-09T22:40:24Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325900546301,499973,Always On,24942351,TAGVault,70,2025-06-09T12:04:35Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325896658557,499973,Always On,693064,PhOeNiX_H,69,2025-06-09T08:51:59Z,pt,2025-06-10T19:45:49.400669,twitch,streams
stream,322340580092,499973,Always On,103101603,Synakle95,58,2025-06-08T21:36:32Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322441981820,499973,Always On,879163586,3fauxty4,57,2025-06-10T19:39:42Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,326010331389,499973,Always On,888295298,TheoOgRed,55,2025-06-10T18:58:14Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325988441341,499973,Always On,470808732,DumbTelevision,47,2025-06-10T13:30:15Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,314429590519,499973,Always On,863599639,ALF,46,2025-06-09T16:34:11Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322436348284,499973,Always On,1056897509,ALF_Japan,40,2025-06-10T18:18:10Z,ja,2025-06-10T19:45:49.400669,twitch,streams
stream,314431039223,499973,Always On,1218350688,EXPTV,39,2025-06-10T09:07:48Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322421081596,499973,Always On,1156081958,LordKevun,39,2025-06-10T07:02:03Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322362396284,499973,Always On,1158354438,DrLupo_247,37,2025-06-09T04:24:50Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321500928633,499973,Always On,796338572,BigcreekLive,32,2025-06-10T12:15:53Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,314431146993,499973,Always On,555357855,平等寺,32,2025-06-10T13:45:29Z,ja,2025-06-10T19:45:49.400669,twitch,streams
stream,321458868985,499973,Always On,1179883464,BeardlyTV,31,2025-06-09T14:16:10Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325950043261,499973,Always On,47267585,ArKhamux,28,2025-06-09T23:57:13Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,314428044663,499973,Always On,1145691461,TheAsylumMovies,28,2025-06-09T02:58:19Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321473553785,499973,Always On,1149970169,mooonwukong,27,2025-06-09T20:09:39Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325898656637,499973,Always On,1220586836,FuturemanTV,25,2025-06-09T10:42:26Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322334188540,499973,Always On,1227504406,el_gatein144,24,2025-06-08T19:59:37Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321490216697,499973,Always On,429538493,RichMoonTV,24,2025-06-10T06:54:40Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325893871997,499973,Always On,1238581298,callumspazmoidadams,23,2025-06-09T06:58:13Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325981773437,499973,Always On,435760575,El_Lumy,23,2025-06-10T08:41:13Z,es,2025-06-10T19:45:49.400669,twitch,streams
stream,321497311609,499973,Always On,1117877254,tunder_gtv,23,2025-06-10T10:52:17Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322388220284,499973,Always On,1169147491,HutchMF_247,22,2025-06-09T19:51:44Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,322376011644,499973,Always On,36218369,ST4XJ4X,22,2025-06-09T16:59:32Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321489696377,499973,Always On,1223330674,BLKQueeen,20,2025-06-10T06:26:56Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,325948658045,499973,Always On,533379019,huanyro,20,2025-06-09T23:37:34Z,en,2025-06-10T19:45:49.400669,twitch,streams
stream,321444756089,499973,Always On,1077621629,MyRealThailandTV,19,2025-06-09T08:27:42Z,de,2025-06-10T19:45:49.400669,twitch,streams
stream,314420630248,1804231074,MapleStory Worlds,16677765,六希夫,1995,2025-06-10T14:00:51Z,zh,2025-06-10T19:45:49.400669,twitch,streams
stream,314420032360,1804231074,MapleStory Worlds,89286587,小六,665,2025-06-10T10:37:00Z,zh,2025-06-10T19:45:49.400669,twitch,streams
stream,314420122088,1804231074,MapleStory Worlds,194704878,紋紋__,508,2025-06-10T11:16:56Z,zh,2025-06-10T19:45:49.400669,twitch,streams
stream,314425464810,1804231074,MapleStory Worlds,124430873,香草貓咪,314,2025-06-10T04:17:01Z,zh,2025-06-10T19:45:49.400669,twitch,streams
stream,314421094121,1804231074,MapleStory Worlds,30907386,蛇蛇,312,2025-06-10T10:21:48Z,zh,2025-06-10T19:45:49.400669,twitch,streams
